id_pedido,fecha_hora,categoria,producto,cantidad,precio_unitario,descuento_unitario,monto_total,canal_venta,metodo_pago,calificacion,descuento_unitario_propuesto,cantidad_proyectada,monto_total_proyectado,incremento_monto
ORD-1055,2026-06-22 14:55:00,Pollo,Crispy Chicken Burger,1,22.0,2.2,19.8,Para Llevar,Tarjeta de Débito,5,2.2,1.0,19.8,0.0
ORD-1056,2026-05-02 18:45:00,Clásicas,Cheeseburger Doble,2,24.0,3.6,40.8,Delivery App,Tarjeta de Crédito,4,3.6,2.0,40.8,0.0
ORD-1057,2026-07-23 19:42:00,Clásicas,Hamburguesa Clásica,1,18.0,1.8,16.2,Para Llevar,Yape/Plin,2,1.8,1.0,16.2,0.0
ORD-1058,2026-07-31 19:15:00,Gourmet,Hamburguesa huachana,3,32.0,0.0,96.0,Delivery App,Tarjeta de Débito,4,4.8,4.0,108.8,12.8
ORD-1059,2026-06-29 19:03:00,Pollo,Crispy Chicken Burger,3,22.0,0.0,66.0,Delivery App,Yape/Plin,3,2.2,3.0,59.4,-6.6
ORD-1060,2026-07-10 12:51:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Efectivo,3,1.8,2.0,32.4,-3.6
ORD-1061,2026-06-13 16:36:00,Pollo,Crispy Chicken Burger,4,23.5,0.0,94.0,Delivery App,Tarjeta de Crédito,5,2.35,4.0,84.6,-9.4
ORD-1062,2026-05-08 12:53:00,Extranjera,Hamburguesa Mexicana,1,21.0,0.0,21.0,Presencial,Yape/Plin,5,4.2,2.0,33.6,12.6
ORD-1063,2026-06-16 17:20:00,Clásicas,Hamburguesa Clásica,2,18.0,2.7,30.6,Web Directa,Tarjeta de Crédito,5,2.7,2.0,30.6,0.0
ORD-1064,2026-06-04 15:13:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Web Directa,Yape/Plin,4,2.2,1.0,19.8,-2.2
ORD-1065,2026-07-17 20:30:00,Gourmet,Hamburguesa huachana,3,32.0,0.0,96.0,Presencial,Yape/Plin,2,4.8,4.0,108.8,12.8
ORD-1066,2026-07-20 14:54:00,Especiales,Hamburguesa La Churrita,1,28.5,0.0,28.5,Para Llevar,Yape/Plin,5,4.28,1.0,24.22,-4.28
ORD-1067,2026-06-05 12:47:00,Clásicas,Hamburguesa Clásica,2,18.0,2.7,30.6,Web Directa,Tarjeta de Crédito,4,2.7,2.0,30.6,0.0
ORD-1068,2026-06-19 13:17:00,Clásicas,Hamburguesa Clásica,3,18.0,3.6,43.2,Delivery App,Tarjeta de Crédito,4,3.6,3.0,43.2,0.0
ORD-1069,2026-05-04 19:06:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Presencial,Tarjeta de Débito,4,2.2,1.0,19.8,-2.2
ORD-1070,2026-05-02 18:09:00,Especiales,Hamburguesa Extrema,1,36.0,0.0,36.0,Delivery App,Tarjeta de Débito,5,5.4,1.0,30.6,-5.4
ORD-1071,2026-05-06 12:06:00,Gourmet,Hamburguesa huachana,2,32.0,0.0,64.0,Delivery App,Tarjeta de Crédito,5,4.8,2.0,54.4,-9.6
ORD-1072,2026-06-23 12:32:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Tarjeta de Débito,5,2.4,1.0,21.6,-2.4
ORD-1073,2026-05-04 19:22:00,Especiales,Hamburguesa La Churrita,1,28.5,0.0,28.5,Presencial,Tarjeta de Crédito,5,4.28,1.0,24.22,-4.28
ORD-1074,2026-06-23 12:20:00,Especiales,Hamburguesa La Churrita,1,28.5,0.0,28.5,Delivery App,Tarjeta de Débito,5,4.28,1.0,24.22,-4.28
ORD-1075,2026-07-02 19:18:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Yape/Plin,4,2.4,1.0,21.6,-2.4
ORD-1076,2026-05-18 19:47:00,Clásicas,Hamburguesa Clásica,3,18.0,0.0,54.0,Delivery App,Tarjeta de Débito,5,1.8,3.0,48.6,-5.4
ORD-1077,2026-07-29 12:18:00,Pollo,Crispy Chicken Burger,2,22.0,0.0,44.0,Para Llevar,Tarjeta de Crédito,3,2.2,2.0,39.6,-4.4
ORD-1078,2026-06-13 12:35:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Web Directa,Tarjeta de Débito,4,2.4,1.0,21.6,-2.4
ORD-1079,2026-06-03 22:28:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Presencial,Tarjeta de Crédito,4,2.2,1.0,19.8,-2.2
ORD-1080,2026-07-13 14:59:00,Clásicas,Cheeseburger Doble,1,24.0,2.4,21.6,Web Directa,Efectivo,5,2.4,1.0,21.6,0.0
ORD-1081,2026-07-01 14:17:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Tarjeta de Crédito,4,1.8,1.0,16.2,-1.8
ORD-1082,2026-05-14 19:01:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Yape/Plin,2,1.8,1.0,16.2,-1.8
ORD-1083,2026-06-17 20:00:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Delivery App,Efectivo,5,2.4,1.0,21.6,-2.4
ORD-1084,2026-05-15 22:46:00,Extranjera,Hamburguesa Mexicana,1,21.0,0.0,21.0,Presencial,Yape/Plin,5,4.2,2.0,33.6,12.6
ORD-1085,2026-07-11 19:04:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Yape/Plin,4,1.8,2.0,32.4,-3.6
ORD-1086,2026-07-17 14:19:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Delivery App,Yape/Plin,5,2.2,1.0,19.8,-2.2
ORD-1087,2026-07-26 12:10:00,Especiales,Hamburguesa La Churrita,2,28.5,4.27,48.46,Presencial,Efectivo,5,4.27,2.0,48.46,0.0
ORD-1088,2026-07-01 19:41:00,Pollo,Crispy Chicken Burger,2,22.0,0.0,44.0,Presencial,Tarjeta de Débito,5,2.2,2.0,39.6,-4.4
ORD-1089,2026-06-09 17:01:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Delivery App,Tarjeta de Débito,5,2.4,2.0,43.2,-4.8
ORD-1090,2026-07-24 15:02:00,Pollo,Crispy Chicken Burger,2,22.0,0.0,44.0,Delivery App,Tarjeta de Débito,4,2.2,2.0,39.6,-4.4
ORD-1091,2026-07-19 20:22:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Delivery App,Tarjeta de Débito,5,2.2,1.0,19.8,-2.2
ORD-1092,2026-07-21 12:54:00,Clásicas,Hamburguesa Clásica,3,18.0,0.0,54.0,Presencial,Tarjeta de Débito,3,1.8,3.0,48.6,-5.4
ORD-1093,2026-06-22 16:11:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Débito,4,1.8,2.0,32.4,-3.6
ORD-1094,2026-05-24 11:19:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Presencial,Tarjeta de Crédito,4,2.2,1.0,19.8,-2.2
ORD-1095,2026-05-26 16:04:00,Especiales,Hamburguesa Extrema,2,36.0,0.0,72.0,Presencial,Tarjeta de Crédito,4,5.4,2.0,61.2,-10.8
ORD-1096,2026-07-28 12:36:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Delivery App,Tarjeta de Crédito,3,1.8,2.0,32.4,-3.6
ORD-1097,2026-06-29 12:37:00,Gourmet,Hamburguesa huachana,1,32.0,0.0,32.0,Presencial,Tarjeta de Crédito,5,4.8,1.0,27.2,-4.8
ORD-1098,2026-06-10 12:29:00,Extranjera,Hamburguesa Mexicana,1,21.0,0.0,21.0,Presencial,Tarjeta de Crédito,3,4.2,2.0,33.6,12.6
ORD-1099,2026-05-29 18:08:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Delivery App,Tarjeta de Débito,4,2.2,1.0,19.8,-2.2
ORD-1100,2026-05-15 19:33:00,Especiales,Hamburguesa Extrema,3,37.5,0.0,112.5,Delivery App,Tarjeta de Crédito,4,5.62,4.0,127.52,15.02
ORD-1101,2026-06-14 18:52:00,Gourmet,Hamburguesa huachana,2,32.0,0.0,64.0,Delivery App,Yape/Plin,4,4.8,2.0,54.4,-9.6
ORD-1102,2026-07-04 21:43:00,Clásicas,Cheeseburger Doble,4,24.0,0.0,96.0,Presencial,Tarjeta de Crédito,5,2.4,4.0,86.4,-9.6
ORD-1103,2026-07-28 14:34:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Presencial,Tarjeta de Crédito,5,2.4,2.0,43.2,-4.8
ORD-1104,2026-07-10 14:51:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Yape/Plin,4,2.4,1.0,21.6,-2.4
ORD-1105,2026-05-09 20:57:00,Gourmet,Hamburguesa huachana,1,32.0,0.0,32.0,Presencial,Tarjeta de Débito,5,4.8,1.0,27.2,-4.8
ORD-1106,2026-07-27 13:21:00,Gourmet,Hamburguesa huachana,2,32.0,0.0,64.0,Delivery App,Tarjeta de Crédito,4,4.8,2.0,54.4,-9.6
ORD-1107,2026-05-01 21:43:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Web Directa,Yape/Plin,5,1.8,2.0,32.4,-3.6
ORD-1108,2026-05-08 11:23:00,Pollo,Crispy Chicken Burger,5,22.0,0.0,110.0,Delivery App,Yape/Plin,5,2.2,5.0,99.0,-11.0
ORD-1109,2026-07-27 21:16:00,Gourmet,Hamburguesa huachana,1,32.0,4.8,27.2,Delivery App,Tarjeta de Crédito,5,4.8,1.0,27.2,0.0
ORD-1110,2026-07-02 11:09:00,Especiales,Hamburguesa La Churrita,1,28.5,0.0,28.5,Presencial,Tarjeta de Crédito,5,4.28,1.0,24.22,-4.28
ORD-1111,2026-05-11 20:29:00,Especiales,Hamburguesa La Churrita,2,30.0,0.0,60.0,Delivery App,Efectivo,4,4.5,2.0,51.0,-9.0
ORD-1112,2026-07-20 17:55:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Presencial,Tarjeta de Débito,5,4.28,2.0,48.44,-8.56
ORD-1113,2026-05-08 22:58:00,Clásicas,Hamburguesa Clásica,2,21.0,0.0,42.0,Delivery App,Tarjeta de Débito,1,2.1,2.0,37.8,-4.2
ORD-1114,2026-06-04 12:45:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Delivery App,Yape/Plin,4,1.8,2.0,32.4,-3.6
ORD-1115,2026-06-04 17:22:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Tarjeta de Crédito,5,1.8,1.0,16.2,-1.8
ORD-1116,2026-06-02 21:31:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Débito,4,1.8,2.0,32.4,-3.6
ORD-1117,2026-05-05 17:16:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Para Llevar,Tarjeta de Crédito,3,2.4,2.0,43.2,-4.8
ORD-1118,2026-06-10 18:49:00,Especiales,Hamburguesa La Churrita,3,28.5,5.7,68.4,Presencial,Yape/Plin,4,5.7,3.0,68.4,0.0
ORD-1119,2026-05-28 18:50:00,Clásicas,Hamburguesa Clásica,3,18.0,3.6,43.2,Presencial,Tarjeta de Débito,5,3.6,3.0,43.2,0.0
ORD-1120,2026-05-07 16:16:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Presencial,Yape/Plin,3,2.2,1.0,19.8,-2.2
ORD-1121,2026-07-12 18:13:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Delivery App,Tarjeta de Crédito,4,2.4,1.0,21.6,-2.4
ORD-1122,2026-07-11 18:08:00,Extranjera,Hamburguesa Mexicana,5,21.0,2.1,94.5,Delivery App,Tarjeta de Crédito,5,2.1,5.0,94.5,0.0
ORD-1123,2026-05-12 20:39:00,Especiales,Hamburguesa Extrema,1,36.0,0.0,36.0,Delivery App,Tarjeta de Débito,5,5.4,1.0,30.6,-5.4
ORD-1124,2026-06-03 11:01:00,Clásicas,Hamburguesa Clásica,3,18.0,0.0,54.0,Presencial,Yape/Plin,4,1.8,3.0,48.6,-5.4
ORD-1125,2026-06-02 14:44:00,Clásicas,Cheeseburger Doble,1,24.0,4.8,19.2,Delivery App,Tarjeta de Débito,5,4.8,1.0,19.2,0.0
ORD-1126,2026-06-17 21:24:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Crédito,3,1.8,2.0,32.4,-3.6
ORD-1127,2026-05-23 20:38:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Web Directa,Yape/Plin,5,4.28,2.0,48.44,-8.56
ORD-1128,2026-07-01 16:08:00,Especiales,Hamburguesa La Churrita,4,28.5,0.0,114.0,Delivery App,Tarjeta de Crédito,3,4.28,5.0,121.1,7.1
ORD-1129,2026-07-27 18:53:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Efectivo,4,1.8,1.0,16.2,-1.8
ORD-1130,2026-06-06 13:21:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Presencial,Tarjeta de Crédito,5,4.28,2.0,48.44,-8.56
ORD-1131,2026-06-13 13:42:00,Clásicas,Hamburguesa Clásica,1,18.0,1.8,16.2,Presencial,Yape/Plin,5,1.8,1.0,16.2,0.0
ORD-1132,2026-07-25 16:45:00,Clásicas,Hamburguesa Clásica,1,18.0,1.8,16.2,Presencial,Tarjeta de Crédito,4,1.8,1.0,16.2,0.0
ORD-1133,2026-07-30 14:03:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Presencial,Efectivo,4,4.28,2.0,48.44,-8.56
ORD-1134,2026-06-04 18:25:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Delivery App,Tarjeta de Débito,4,2.4,2.0,43.2,-4.8
ORD-1135,2026-07-04 12:57:00,Especiales,Hamburguesa La Churrita,4,28.5,4.27,96.92,Delivery App,Tarjeta de Crédito,5,4.27,4.0,96.92,0.0
ORD-1136,2026-06-16 21:28:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Tarjeta de Crédito,5,2.4,1.0,21.6,-2.4
ORD-1137,2026-07-17 22:44:00,Especiales,Hamburguesa Extrema,1,36.0,3.6,32.4,Presencial,Tarjeta de Crédito,5,3.6,1.0,32.4,0.0
ORD-1138,2026-05-03 18:33:00,Clásicas,Hamburguesa Clásica,1,18.0,3.6,14.4,Presencial,Tarjeta de Crédito,4,3.6,1.0,14.4,0.0
ORD-1139,2026-05-01 17:22:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Web Directa,Efectivo,5,2.4,1.0,21.6,-2.4
ORD-1140,2026-05-05 14:36:00,Gourmet,Hamburguesa huachana,1,32.0,0.0,32.0,Presencial,Tarjeta de Débito,5,4.8,1.0,27.2,-4.8
ORD-1141,2026-07-29 19:10:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Delivery App,Yape/Plin,4,2.4,2.0,43.2,-4.8
ORD-1142,2026-05-14 18:05:00,Especiales,Hamburguesa Extrema,1,36.0,0.0,36.0,Web Directa,Tarjeta de Débito,2,5.4,1.0,30.6,-5.4
ORD-1143,2026-05-27 13:17:00,Gourmet,Hamburguesa huachana,4,32.0,0.0,128.0,Delivery App,Yape/Plin,5,4.8,5.0,136.0,8.0
ORD-1144,2026-05-09 20:20:00,Especiales,Hamburguesa La Churrita,4,28.5,0.0,114.0,Web Directa,Tarjeta de Crédito,5,4.28,5.0,121.1,7.1
ORD-1145,2026-07-18 19:41:00,Gourmet,Hamburguesa huachana,2,32.0,0.0,64.0,Presencial,Tarjeta de Crédito,4,4.8,2.0,54.4,-9.6
ORD-1146,2026-05-15 20:35:00,Especiales,Hamburguesa Extrema,3,36.0,0.0,108.0,Para Llevar,Yape/Plin,4,5.4,4.0,122.4,14.4
ORD-1147,2026-07-29 19:40:00,Extranjera,Hamburguesa Mexicana,2,21.0,0.0,42.0,Presencial,Efectivo,5,4.2,4.0,67.2,25.2
ORD-1148,2026-06-11 18:37:00,Gourmet,Hamburguesa huachana,1,32.0,0.0,32.0,Presencial,Tarjeta de Crédito,2,4.8,1.0,27.2,-4.8
ORD-1149,2026-07-16 15:33:00,Gourmet,Hamburguesa huachana,1,32.0,3.2,28.8,Delivery App,Tarjeta de Crédito,3,3.2,1.0,28.8,0.0
ORD-1150,2026-06-20 20:16:00,Clásicas,Hamburguesa Clásica,1,20.0,0.0,20.0,Para Llevar,Tarjeta de Débito,5,2.0,1.0,18.0,-2.0
ORD-1151,2026-07-02 20:36:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Web Directa,Efectivo,5,1.8,2.0,32.4,-3.6
ORD-1152,2026-06-21 11:24:00,Especiales,Hamburguesa La Churrita,3,28.5,5.7,68.4,Presencial,Tarjeta de Crédito,4,5.7,3.0,68.4,0.0
ORD-1153,2026-05-04 11:37:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Tarjeta de Débito,4,1.8,1.0,16.2,-1.8
ORD-1154,2026-05-23 14:57:00,Especiales,Hamburguesa La Churrita,3,30.5,0.0,91.5,Para Llevar,Yape/Plin,5,4.58,4.0,103.68,12.18
ORD-1155,2026-05-15 19:11:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Crédito,4,1.8,2.0,32.4,-3.6
ORD-1156,2026-06-12 22:22:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Delivery App,Tarjeta de Crédito,4,2.4,1.0,21.6,-2.4
ORD-1157,2026-05-29 13:52:00,Pollo,Crispy Chicken Burger,5,22.0,0.0,110.0,Web Directa,Tarjeta de Débito,5,2.2,5.0,99.0,-11.0
ORD-1158,2026-06-05 18:41:00,Extranjera,Hamburguesa Mexicana,1,21.0,0.0,21.0,Delivery App,Efectivo,4,4.2,2.0,33.6,12.6
ORD-1159,2026-05-13 14:21:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Tarjeta de Crédito,2,1.8,1.0,16.2,-1.8
